TimesH,Frame,1,2,3,4,5,6
46.03,46.03,0.0008,0.0015,0.0015,0.0011,0.0004,0.0016
46.28,46.28,0.0013,0.002,0.0017,0.0019,0.0007,0.0022
46.53,46.53,0.001,0.0016,0.0014,0.0016,0.0004,0.0022
46.78,46.78,0.0012,0.0021,0.0016,0.0019,0.0007,0.002
47.03,47.03,0.0011,0.0021,0.0018,0.002,0.0011,0.0022
47.28,47.28,0.001,0.0017,0.0015,0.0015,0.0006,0.0026
47.53,47.53,0.0006,0.0015,0.0015,0.0015,0.0002,0.0019
47.78,47.78,0.0008,0.002,0.0012,0.0014,0.0001,0.0019
48.03,48.03,0.0009,0.0021,0.0014,0.0018,0.0004,0.0018
48.28,48.28,0.0007,0.0021,0.0016,0.0015,0.0006,0.0018
48.53,48.53,0.0008,0.0019,0.0017,0.0017,0.0001,0.0022
48.78,48.78,0.0009,0.0018,0.0013,0.0015,0.0004,0.0019
49.03,49.03,0.0012,0.0018,0.0019,0.002,0.0006,0.0025
49.28,49.28,0.0014,0.0024,0.0021,0.0019,0.0009,0.0023
49.53,49.53,0.0009,0.0022,0.0016,0.0016,0.0004,0.0021
49.78,49.78,0.0008,0.002,0.0015,0.0018,0.0005,0.0019
50.03,50.03,0.0009,0.0016,0.0016,0.0018,0.0000462,0.0024
50.28,50.28,0.0009,0.0016,0.0015,0.0013,0.0002,0.0022
50.53,50.53,0.001,0.0016,0.0018,0.0018,0.0003,0.0023
50.78,50.78,0.0009,0.0023,0.0018,0.0021,0.0004,0.0025
51.03,51.03,0.0009,0.0021,0.0014,0.0015,0.0003,0.0022
51.28,51.28,0.0013,0.0023,0.0017,0.0016,0.0005,0.0025
51.53,51.53,0.0006,0.0019,0.0014,0.0015,0.0001,0.0021
51.78,51.78,0.0011,0.0021,0.0018,0.0017,0.0004,0.0023
52.03,52.03,0.0009,0.0017,0.0016,0.0014,0.0002,0.002
52.28,52.28,0.0014,0.002,0.0017,0.0017,0.0005,0.0021
52.54,52.54,0.0006,0.0019,0.0011,0.0017,0.0001,0.0019
52.79,52.79,0.0011,0.0021,0.0019,0.0017,0.0004,0.0025
53.04,53.04,0.001,0.0015,0.0013,0.0014,0.0003,0.0018
53.29,53.29,0.0008,0.0018,0.0016,0.0019,0.0002,0.002
53.54,53.54,0.0009,0.0023,0.0016,0.0019,0.0004,0.0025
53.79,53.79,0.0008,0.0015,0.0014,0.0016,0.0001,0.002
54.04,54.04,0.0008,0.0015,0.0016,0.001,0.0004,0.0022
54.29,54.29,0.0009,0.0019,0.0017,0.0018,0.0006,0.002
54.54,54.54,0.0007,0.0015,0.0013,0.0013,0.0001,0.0025
54.79,54.79,0.0007,0.0016,0.0012,0.0014,0.0004,0.0017
55.04,55.04,0.0015,0.0014,0.0019,0.0016,0.0006,0.0021
55.29,55.29,0.0007,0.0017,0.0013,0.0014,0.0001,0.0016
55.54,55.54,0.001,0.0017,0.0011,0.0017,0.0002,0.002
55.79,55.79,0.0008,0.0015,0.0013,0.0013,0.0002,0.0017
56.04,56.04,0.0006,0.0013,0.0012,0.0017,0.0001,0.0017
56.29,56.29,0.0007,0.0015,0.0016,0.0013,0.0004,0.0019
56.54,56.54,0.0007,0.0015,0.0013,0.0014,0,0.0013
56.79,56.79,0.0009,0.001,0.0011,0.0015,0.0004,0.0015
57.04,57.04,0.0007,0.0017,0.0011,0.0012,0.0002,0.001
57.29,57.29,0.0006,0.0014,0.0012,0.0012,0,0.0015
57.54,57.54,0.001,0.0016,0.0014,0.0013,0.0004,0.0019
57.79,57.79,0.0009,0.0014,0.0009,0.0012,0.0001,0.0017
58.04,58.04,0.0007,0.0013,0.0009,0.0012,0.0004,0.0016
58.29,58.29,0.001,0.0013,0.0017,0.0012,0.0005,0.0015
58.54,58.54,0.0005,0.001,0.001,0.0009,0.0002,0.0012
58.79,58.79,0.0007,0.0011,0.0015,0.001,0.0004,0.0016
59.04,59.04,0.0011,0.0016,0.0015,0.0013,0.0004,0.0015
59.29,59.29,0.0004,0.0012,0.0009,0.001,0.0005,0.0012
59.54,59.54,0.001,0.0012,0.001,0.0014,0.0003,0.0019
59.79,59.79,0.0004,0.0011,0.0012,0.0011,0.0002,0.0012
