TimesH,Frame,NoMissing,1,1,2,2,3,3,4,4,5,5,6,6
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
132,132,,2.262,2.226,3.192,2.975,3.498,2.612,2.174,2.878,1.999,2.421,3.706,2.371
133,133,,,,3.099,2.941,3.507,2.608,2.264,2.872,2.009,2.429,3.717,2.357
134,134,,,,3.11,2.883,3.475,2.62,,,2.01,2.414,3.714,2.352
135,135,,,,3.125,2.916,3.451,2.603,,,,,3.722,2.35
136,136,,,,3.114,2.899,,,,,,,3.722,2.34
137,137,,,,3.099,2.876,,,,,,,3.724,2.34
138,138,,,,3.118,2.876,,,,,,,3.723,2.326
139,139,,,,3.09,2.856,,,,,,,3.727,2.322
140,140,,,,3.087,2.867,,,,,,,3.724,2.309
141,141,,2.349,2.174,3.074,2.881,,,,,,,,
142,142,,2.36,2.176,3.059,2.865,,,2.295,2.91,,,,
143,143,,2.354,2.184,3.029,2.842,,,2.282,2.917,,,,
144,144,,2.353,2.163,3.049,2.858,,,2.276,2.911,,,,
145,145,,2.354,2.177,3.025,2.843,,,2.279,2.925,2.042,2.542,,
146,146,,2.351,2.16,3.053,2.841,3.535,2.561,2.268,2.96,2.041,2.542,,
147,147,,2.345,2.182,,,3.529,2.556,2.275,2.919,2.027,2.533,3.866,2.25
148,148,,2.345,2.172,,,3.509,2.559,2.281,2.931,2.041,2.542,3.864,2.255
149,149,,2.345,2.163,3.084,2.794,3.519,2.554,2.269,2.967,2.04,2.543,3.862,2.254
150,150,,2.349,2.172,3.088,2.787,3.517,2.55,2.265,2.985,2.037,2.539,3.868,2.255
151,151,,2.413,2.226,3.09,2.783,3.522,2.543,2.273,2.973,2.029,2.529,3.866,2.259
